               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1184,            0.029119,                   0,           0.0017391,               0.375,           0.0029539,           0.0008419,              0.1001,            0.020991,                   0,              0.0775,              0.0025,              0.0025
                   1,             0.10221,            0.022997,                   0,           0.0021739,             0.46875,           0.0028345,          0.00065701,            0.089447,            0.016746,                   0,            0.054083,           0.0050832,           0.0050832
                   2,            0.094249,             0.02019,                   0,           0.0028986,               0.625,           0.0056243,           0.0015268,            0.083638,            0.015195,                   0,            0.030649,           0.0076492,           0.0076492
                   3,            0.085702,            0.020234,                   0,           0.0036232,             0.78125,           0.0081669,           0.0020209,            0.082395,            0.014437,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.082948,             0.01894,                   0,           0.0036232,             0.78125,             0.01013,           0.0023947,            0.078271,            0.015199,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.07469,            0.021638,                   0,           0.0044928,             0.96875,               0.179,            0.035573,            0.065934,            0.016962,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.073139,            0.021953,                   0,            0.039335,              0.8125,             0.21764,            0.034168,            0.067614,            0.015825,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.068431,            0.019106,                   0,             0.19482,             0.53125,              0.2469,            0.044136,            0.063971,            0.016044,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.066128,            0.019203,                   0,             0.31939,             0.51342,             0.34868,            0.092371,            0.064731,            0.015798,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.064317,            0.020222,                   0,             0.17735,              0.5625,             0.33674,             0.13662,            0.060924,             0.01603,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.060415,             0.02047,                   0,             0.33597,             0.40625,             0.36315,             0.13694,            0.054289,            0.016049,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.057221,            0.020773,                   0,              0.3572,             0.50368,             0.32964,             0.15277,            0.053345,            0.016223,                   0,             0.00967,             0.00967,             0.00967
